id,Название (укр),Название (рус),Описание (укр),Описание (рус),primary_image,category_id,subcategory_id,product_id,validated,year,availability,images,tags,price,weight,length,width,height,model,seo,created_at,updated_at,status,sku,quantity,minimum,subtract,stock_status_id,shipping,points,weight_class_id,length_class_id,sort_order,viewed,date_available,date_added,date_modified,created_from_gallery
96,Астерікс F1,Астерикс F1,"Ранньостиглий гібрид жіночого типу цвітіння з великими, темно-зеленого кольору, плодами з шипами.
Потужний у зростанні, з відмінною посухостійкістю. Стійкий до кладоспірозу, помилкової борошнистої роси,","Раннеспелый гибрид женского типа цветения с небольшими, темно-зеленой окраски, шиповидними плодами.
Мощный в росте, с прекрасной устойчивостью к засухе. Устойчив к кладоспирозу, ложной мучнистой росе,",p100096.jpg,110,,p11096,1,,0,,"early_maturing,red,powdery_mildew,drought_tolerant",,,,,,p100096,asteriks-f1,,,,,,,,,,,,,,,,,,
97,Атлантіс F1,Атлантис F1,"Ранньостиглий високоврожайний гібрид з переважно жіночим типом цвітіння. Прибирання розпочнеться через
45 днів після посіву. Плоди чудового смаку, повністю без гіркоти, використовуються для консервування та
соління. добре зберігаються і транспортуються.","Раннеспелый высокоурожайный гибрид с преимущественно женским типом цветения. Начало уборки – через
45 дней после посева. Плоды прекрасного вкуса, совсем без горечи, используют для консервирования и
засолки. Хорошо хранятся и транспортируются. ",p100097.jpg,110,,p11097,1,,0,,"early_maturing,canning,pickling,red,high_yield",,,,,,p100097,atlantis-f1,,,,,,,,,,,,,,,,,,
99,Береговий,Береговой,"Середньоранній бджолозапильний сорт відкритого грунту. Призначений для засолювання та консервування. Плодоношення настає на 47-51 день від сходів. Довжина основного стебла 1,6-2,3 м. Плод 10-12 см завдовжки, 3-4 см в діаметрі, важить близько 100 г, має відмінний смак. Сорт стійкий до несправжньої борошнистої роси.","Среднеранний пчело- опыляемый сорт открытого грунта. Предназначен для засола и консервирования. Вплодоношение вступает на 47-51 день от всходов. Длина главного стебля 1,6-2,3 м. Плод длиной 10-12 см, диаметром 3-4 см, массой около 100 г, отличного вкуса. Сорт устойчив к ложной мучнистой росе.",p100099.jpg,110,,p11099,1,,1,,"early,mid_early,canning,pickling,powdery_mildew,open_field,bee_pollinated",,,,,,p100099,berehovyi,,,,,,,,,,,,,,,,,,
100,Білий ангел,Белый ангел,"Середньоранній гібридний період вегетації від розсади до масового плодоношення - 50-55 днів. Плоди великі, кремово-білі, витягнуто-овальної форми, довжиною 18-20 см, хорошого смаку. Гібрид відрізняється незвичайним кольором плодів.","Среднеранний гибрид. Вегетационный период от всходов до массового плодоношения 50-55 дней. Плоды крупные, кремово-белой окраски, удлиненно-овальной формы, длиной 18-20см, хороших вкусовых качеств. Гибрид отличается необыкновенным цветом плодов.",p330100.jpg,110,,p110100,1,,1,,"early,mid_early,elongated,oval",,,,,,p330100,bilyi-anhel,,,,,,,,,,,,,,,,,,
101,БрігаднийF1,БригадныйF1,"Середній ерархозний бджолиний розпещений різноманітність відкритого ґрунту, засолення, консервування. Він відрізняється дружнім врожаєм. Плід овально-циліндричний, довжиною 9 см, діаметром 3-4 см, вагою 64-80 г з
Велика поверхня і гладка коротка основа.","Среднеранний пчело-опыляемый сорт открытого грунта, засолочного назначения, консервный. Отличается дружной отдачей урожая. Плод овально-цилиндрический, длиной 9 см, диаметром 3-4 см, массой 64-80 г, с
крупнобугорчатой поверхностью и гладким коротким основанием.",p110101.jpg,110,,p110101,1,,,,"early,mid_early,canning,pickling,oval,cylindrical,open_field,uniform_ripening",,,,,,p110101,brihadnyif1,,,,,,,,,,,,,,,,,,
102,Біляївський,Беляевский,"Сорт виведений для вирощування у відкритому, зокрема двох посадковим способом, раньовесняним садінням і під осінь, під плівку це підвищує урожайність
Крім того, він може бути ефективним у відкритій ґрунті, використовуючи загальноприйняті технології. Плоди цього гібриду притаманні високими товарними якостями.","Создан для выращивания в открытом грунте грунте, в частности в весенний и весенне-
летний периоды в пленочных теплицах. Кроме того, его можно эффективновыращивать в открытом грунте с использованием общепринятых технологий. Плодам этого гибрида присущи высокие  товарные качества.",p110102.jpg,110,,p110102,1,,1,,"open_field,greenhouse",,,,,,p110102,biliaivskyi,,,,,,,,,,,,,,,,,,
103,Бочковий,Бочковий,"Середньо-стиглий (53-57 днів), бджолозапилюваний сорт для відкритого грунту. Рослина сильноросла, в'юнка, зі змішаним цвітінням. Зеленці крупнобугорчасті, яскраво-зелені з восковим нальотом, довжиною 11-13 см, щільні, хрусткі.","Среднеспелый (53-57 дней), пчелоопыляемый сорт для открытого грунта. Растение сильнорослое, плетистое, со смешанным цветением. Зеленцы крупнобугорчатые, ярко-зелёные с восковым налётом, длиной 11-13 см, плотные, хрустящие.",p110103.jpg,110,,p110103,1,,1,,"mid_maturing,firm,crunchy,open_field,bee_pollinated",,,,,,p110103,bochkovyi,,,,,,,,,,,,,,,,,,
104,Весела компані F1,Весела компани F1,"Середньо-ранній гібрид для вирощування у відкритому та закритому ґрунті. Зеленець середньо-бугорчатий корнюшонного типу, завдовжки 7-9 см. Тип зав'язі пучковий  Стійкий до основних захворювань огірків.
Відмінно підходить для свіжого споживання та консервування.","ВеселаякомпаниF1. Среднеранний гибрид корнишонного типа, для выращивания в открытом и закрытом грунте. Зеленец среднбугорчатый, длиной 7-9 см. Тип завязи пучковый. Устойчив к основным заболеваниям огурцов.
Отлично подходит для употребления в свежем виде и консервирования.",p110104.jpg,110,,p110104,1,,1,,"early,mid_early,canning,fresh,open_field",,,,,,p110104,vesela-kompani-f1,,,,,,,,,,,,,,,,,,
105,Виноградне гроно,Виноградная гроздь,"Ранньо-стиглий гібрид, від сходів до першого збору 42-45 днів, що формує пучкову зав'язь плодів. Плоди однорідні за розміром, подовжено-яйцеподібної форми, довго не жовтіють, крупнобугорчасті з ніжною шкіркою, без гіркоти, з відмінними засолювальними якостями. Довжина зеленця 8-9 см","Раннеспелый гибрид, от всходов до первого сбора 42 - 45 дней, формирующий пучковую завязь плодов. Плоды однородные по размеру, удлиненно-яйцевидной формы, долго не желтеют, крупнобугорчатые с нежной кожицей, без горечи, с отличными засолочными качествами. Длина зеленца 8-9 см",p110105.jpg,110,,p110105,1,,1,,"early_maturing,pickling,yellow,elongated",,,,,,p110105,vynohradne-hrono,,,,,,,,,,,,,,,,,,
106,Вірні друзі,Верные друзья,"Ультрашвидкостиглий, бджоло-запильний гібрид для відкритого ґрунту та плівкових укриттів. Період вегетації 37-39 днів. Салатного та консервного призначення. У пазусі листа закладається по 2-7 зав'язей. Кожна рослина дає до 47 овально-циліндричних плодів, завдовжки 8-10 см, без гіркоти, масою 80-115 г.","Ультраскороспелый, пчело-опыляемый гибрид для открытого грунта и пленочных укрытий. Период вегетации
37-39 дней. Салатного и консервного назначения. В пазухе листа закладывается по 2-7 завязей. Каждоерастение дает до 47 овально-цилиндрических плодов, длиной 8-10 см, без горечи, массой 80-115 г.",p110106.jpg,110,,p110106,1,,,,"salad,canning,oval,cylindrical,open_field,greenhouse",,,,,,p110106,virni-druzi,,,,,,,,,,,,,,,,,,
107,Владко,Владко,"Сeреднестиглый, високоурожайний гібрид з чудовим смаком. Використовується свіжим
Для засолення та збереження. Вегетаційний  період від розсади до початку плодоношення становить 45-50 днів. Це сорт  вирощування у відкритій грунті.","Среднеспелый, высокоурожайный гибрид с отличными вкусовыми качествами. Используется в свежем виде,
для соления и консервации. Вегетационный период от всходов до начала плодоношения – 45-50 дней. Предназначен для выращивания в открытом грунте.",p110107.jpg,110,,p110107,1,,1,,"mid_maturing,canning,pickling,fresh,open_field,high_yield",,,,,,p110107,vladko,,,,,,,,,,,,,,,,,,
108,Водограй,Водограй,"Скоростиглий гібрид, дозріває на 35 день після появи сходів. Відрізняється високою продуктивністю, дружнім дозріванням плодів, придатних до засолювання та консервування, стійкістю рослин до посухи та хвороб.","Скороспелый гибрид, созревает на 35 день после появления всходов. Отличается высокой продуктивностью, дружным созреванием плодов, пригодных к засолке и консервированию, устойчивостью растений к засухе и болезням.",p110108.jpg,110,,p110108,1,,1,,"canning,pickling,disease_resistant,drought_tolerant,uniform_ripening",,,,,,p110108,vodohrai,,,,,,,,,,,,,,,,,,
109,120,120,"Високоврожайний, скоростиглий, корнішонний гібрид для відкритого грунту та весняних теплиць. У вузлах формується 3-6 і більше зав'язей. Забарвлення - красиве, яскраво-зелене. Зеленці - білошипі.","Всем на зависть. Высокоурожайный, скороспелый, корнишонный гибрид для открытого грунта и весенних теплиц. В узлах формируется 3-6 и более завязей. Окраска - красивая, ярко-зеленая. Зеленцы - белошипые.",p110109.jpg,110,,p110109,1,,1,,"open_field,greenhouse,high_yield",,,,,,p110109,120,,,,,,,,,,,,,,,,,,
110,Гейм,Гейм,"Український гібрид  сортип ніжинської селекції. технічна стиглість досягається на 49 денЬ тривалість
Плодоношення 31-35 днів. Стійкий проти пероноспорозу та бактеріозу. Високі консервуючи та засолочні смаки. Зеленці 
Видовжені 10 - 12 см","Среднеспелый, нежинского сортотипа. Плодоносит на 49 день после появления всходов, длительность
плодоношения 31-35 дней. Устойчив против пероноспороза и бактериоза. Высокие консервные и засолочные качества Зеленец удлиненно-овальный, длиной 10-11 см.",p110110.jpg,110,,p110110,1,,1,,"mid_maturing,canning,pickling,elongated,oval",,,,,,p110110,heim,,,,,,,,,,,,,,,,,,
111,Гірлянда F1,Гирлянда F1,"Вегитація (45-50 днів від саджанців до плодоношення) самозапилюючий гібрид з букетним формуванням (до 4-5 в одному вузлі). Рослина з потужним ростом, кущова Рекомендується для вирощування в плівкоаихтеплицях . Завдяки тіні підходить для
Зростання на балконі","Раннеспелый (45-50 дней от всходов до плодоношения) самоопыляемый гибрид с букетным
заложением завязей (до 4-5 в одном узле). Растение с мощным ростом, слабоветвистое. Рекомендуется для выращивания в пленочных теплицах. Благодаря теневыносливости подходит для
выращивания на балконе",p110111.jpg,110,,p110111,1,,0,,"early_maturing,shade_tolerant,greenhouse",,,,,,p110111,hirlianda-f1,,,,,,,,,,,,,,,,,,
112,ГекторF1,ГекторF1,"Надранній кущовий гібрид огірка з переважно жіночим типом цвітіння. Дає високий та дружній врожай. Добре переносить загущення. Плоди однорідні, крупнобугорчасті, білошипі циліндричні, рівномірного темно-зеленого кольору, не жовтіють.","Сверхранний кустовой гибрид огурца с преимущественно женским типом цветения. Дает высокий и дружный урожай. Хорошо переносит загущение. Плоды однородные, крупнобугорчатые, белошипые цилиндрические, равномерного темно-зеленого цвета, не желтеют.",p110112.jpg,110,,p110112,1,,1,,"early,yellow,cylindrical,uniform_ripening",,,,,,p110112,hektorf1,,,,,,,,,,,,,,,,,,
113,Герман F1,Герман F1,"Найпопулярніший, надійний (38-40 днів), суперврожайний гібрид. З 1 кв м можна зібрати 20 кг чудових огірків-корнюшонів Зеленці крупнобугорчаті рівномірні.  Він призначений для свіжого споживання, а також для всіх типів обробки. Гібрид з Голландії.","Самый популярный, суперранний (38-40 дней), сверхурожайный гибрид. С 1 кв. м можно получить более 20 кг 
великолепных огурцов-корнишонов. Зеленцы крупнобугорчатые, равномерные.  Предназначен дла употребления в свежем виде а так же во всех видах переработок. Гибрид из Голландии.",p110113.jpg,110,,p110113,1,,1,,"early,fresh,high_yield",,,,,,p110113,herman-f1,,,,,,,,,,,,,,,,,,
114,Голубчик F1,Голубчик F1,"Раннестиглий гібрид (42-45 днів), переважно жіночого типу цвітіння, бджолозапилюваний, корнішон. Зеленець овально-циліндричний довжиною 9-12 см та діаметром 3, 5-4, 5 см, без гіркоти. Дружньо формує врожай. Придатний для споживання у свіжому вигляді, засолювання, консервування.","Раннеспелый гибрид (42-45 дней), преимущественно жнско- го  типа цветения,  пчело-опыляемый, корнишон. Зеленец овально-цилиндрический длиной 9-12 см и диаметром 3, 5-4, 5 см, без горечи. Дружно формирует урожай. Пригоден для потребления в свежем виде, засолки, консервирования.",p110114.jpg,110,,p110114,1,,1,,"early_maturing,canning,pickling,fresh,oval,cylindrical,bee_pollinated,uniform_ripening",,,,,,p110114,holubchyk-f1,,,,,,,,,,,,,,,,,,
115,Далекосхідний 27,Дальневосточный 27,"Сорт середнього сезону, припускає збір за 40-45 днів. Довгийплетистий Плід еліпсовидний , бугорчатий
Чорношипий завдовжки 11-15 см, вагою 100-200 г, без гіркоти. Продуктивність 1-3 кг/м. Розроблений для відкритого ґрунту, бджолиного, маринованого, стійкого до посухи.","Сорт среднеспелый, доспевает за 40-45 дней. Длинноплетистый. Плод эллипсовидный, бугорчатый,
черношипый, длиной 11-15см, массой 100-200г, без горечи. Урожайность 1-3кг/м. Предназначен для открытого грунта, пчело-опыляемый, засолочный, засухоустойчивый.",p110115.jpg,110,,p110115,1,,1,,"mid_maturing,pickling,black,drought_tolerant,open_field",,,,,,p110115,dalekoskhidnyi-27,,,,,,,,,,,,,,,,,,
116,Джерело,Джерело,"Раннє дозрівання, до плодоношення 40-45 днів. Сорт відносно холодостійкий. зелений витягнутий, довжиною близько 11 см, діаметром 4 см, масою 70-80 г, поверхня комковата з прозорим
смужки до половини довжини. Смак свіжих, консервованих і солоних плодів відмінний, врожайність висока.","Раннеспелый, до начала плодоношения 40-45 дней. Сорт относительно холодоустойчивый. Зеленец удлиненноовальный, длиной около 11 см, диаметром 4 см, массой 70-80 г, поверхность бугорчатая с четкими
полосками до половины длины. Вкус свежих, консервированных изасоленных плодов отличный. Урожайность высокая.",p110116.jpg,110,,p110116,1,,1,,"early_maturing,canning,pickling,fresh,elongated,oval,cold_tolerant",,,,,,p110116,dzherelo,,,,,,,,,,,,,,,,,,
117,Дружна сімейка,Дружная семейка,"Ультра ранні  бджолозапильні для відкритого ґрунту,салатного та ко.  нцервуючого призначення. 2-3
Пазушні закладення зав'язі Цінність  дружне дозрівання рентабельність урожаю, що дозволяє робити 2-3 збора, та високу товарність.","Ультраскороспе- лый, пчело-опыляемый сорт открыто- го грунта. Салатного и консервного назначения. В пазухе листа закладывается по 2-3 завязи. Ценность сорта – раннеспелость, дружная отдача урожая, что позволяет провести уборку за 2-3 сбора, высокая товарность.",p110117.jpg,110,,p110117,1,,1,,"early,early_maturing,salad,canning,open_field,bee_pollinated,uniform_ripening",,,,,,p110117,druzhna-simeika,,,,,,,,,,,,,,,,,,
118,Делікатесний,Деликатесный,"Раньостиглый сорт для вирощування у відкритому ґрунті. Рослина потужна, довго плетиста зеленці циліндричні, вирівняні, дрібношипчасті, 9-12 см завдовжки. Шкіра ніжна темно-зелена.Мякоть щільна з великим вмістом цукру.","Раннеспелый сорт для выращивания в открытом грунте. Растение мощное, длинноплетистое. Зеленцы цилиндрические, выровненные, мелко-, частобугорчатые, длиной 9-12 см. Кожица негрубая, темно-зеленая. Мякоть плотная, с высоким содержанием сахаров.",p110118.jpg,110,,p110118,1,,1,,"early_maturing,cylindrical,firm,open_field",,,,,,p110118,delikatesnyi,,,,,,,,,,,,,,,,,,
119,Ємеля,Емеля,"Середньоранній салатний сорт період вегетації від розсади до першого врожаю - 55-60 днів. Зелень гладка, довжиною 16-20 см, діаметром 3-5 см, масою 120-180 г, з тонкою, блискучою темно-зеленою шкіркою. М'якоть щільна, соковита, без гіркоти з приємним смаком і ароматом","Среднеранний салатный сорт. Вегетационный период от всходов до первого сбора 55-60 дней. Зеленцы гладкие, длиной 16-20см, диаметром 3-5см, массой 120-180г, с тонкой, блестящей темно-зеленой кожурой. Мякоть толстая, сочная, без горечи с приятным вкусом и ароматом",p110119.jpg,110,,p110119,1,,0,,"early,mid_early,salad,juice,juicy,firm,thin_skin",,,,,,p110119,iemelia,,,,,,,,,,,,,,,,,,
120,Журавльонок,Журавленок,"F1. Ранньостиглий, бджолозапильний гібрид, період від проростання до першого врожаю 40-45 днів. Зеленець бугристий, овально-циліндричний, довжиною 10-12 см, без гіркоти. М'якоть щільна, хрустка.","F1. Раннеспелый, пчелоопыляемый гибрид, период от всходов до первого урожая составляет 40-45 дней. Зеленец бугорчатый, овально-цилиндрический, длиной 10-12 см, без горечи. Мякоть плотная, хрустящая",p110120.jpg,110,,p110120,1,,1,,"early_maturing,oval,cylindrical,firm,crunchy,bee_pollinated",,,,,,p110120,zhuravlonok,,,,,,,,,,,,,,,,,,
121,Засолочний,Засолочный,"Сорт ранньостиглий, бджолозапильний, плоди однорідні за розміром, витягнуті яйцеподібні, темно-зелені, не жовтіють, крупнобугристі, з ніжною шкіркою та відмінними солоними якостями.","Раннеспелый, пчелоопыляемый сорт. Плоды однородные по размеру, удлиненно-яйцевидной формы, темно-зеленые, не желтеют, крупнобугорчатые, с нежной кожицей и отличными засолочными качествами.",p110121.jpg,110,,p110121,1,,1,,"early_maturing,pickling,yellow,elongated,bee_pollinated",,,,,,p110121,zasolochnyi,,,,,,,,,,,,,,,,,,
122,Засолочний,Засолочный,"Сорт ранньостиглий, бджолозапильний, плоди однорідні за розміром, витягнуті яйцеподібні, темно-зелені, не жовтіють, крупнобугристі, з ніжною шкіркою та відмінними солоними якостями.","Раннеспелый, пчело-опыляемый сорт. Плоды однородные по размеру, удлиненно-яйцевидной формы, темно-зеленые, не желтеют, крупнобугорчатые, с нежной кожицей и отличными засолочными качествами.",p110122.jpg,110,,p110122,1,,1,,"early_maturing,pickling,yellow,elongated,bee_pollinated",,,,,,p110122,zasolochnyi,,,,,,,,,,,,,,,,,,
123,ЗозуляF1,ЗозуляF1,"Гібрид скоростиглий, засолюваний має частковий партенокарп (самозапильний). Зеленець циліндричний, злегка бугристий, довжина плодів 15-23 см. Врожайність і товарність високі. Використовується для вирощування в теплицях, у приміщенні та у відкритому грунті.","Гибрид скороспелый, засолочный, обладает частичной партенокарпией (самоопыляемый). Зеленец цилиндрический, слабобугорчатый, длина плода 15-23 см. Урожайность и товарность высокие. Применяется для выращивания в теплицах, помещениях и в открытом грунте.",p110123.jpg,110,,p110123,1,,1,,"pickling,cylindrical,open_field,greenhouse,parthenocarpic",,,,,,p110123,zozuliaf1,,,,,,,,,,,,,,,,,,
124,Зубренок F1,Зубренок F1,"Середньоранній гібрид. Входить у плодоношення через 48-50 днів після проростання. Бджолозапильні, переважно з жіночим типом цвітіння. Зеленець довжиною 12-14 см, високий смак, гіркота відсутня","Среднеранний гибрид. В плодоношение вступает на 48-50 день после всходов. Пчелоопыляемый, преимущественно с женским типом цветения. Зеленец длиной 12-14см, высоких вкусовых качеств, без горечи",p110124.jpg,110,,p110124,1,,1,,"early,mid_early,bee_pollinated",,,,,,p110124,zubrenok-f1,,,,,,,,,,,,,,,,,,
125,Зятьок,Зятек,"Скоростиглий(45-48 днів від розсади до плодоношення) партенокарпічний гібрид жіночого типу цвітіння. Призначена для вирощування у відкритому грунті та плівкових теплицях. Зеленець довжиною 10-12 см,","Скороспелый (45-48 день от всходов до плодоношения) партенокарпический гибрид женского типа цветения. Предназначен для выращивания в открытом грунте и пленочных теплицах. Зеленец длиной 10-12 см,",p110125.jpg,110,,p110125,1,,1,,"open_field,greenhouse,parthenocarpic",,,,,,p110125,ziatok,,,,,,,,,,,,,,,,,,
126,ІраF1,ИраF1,"З переважно жіночим типом цвітіння, для вирощування у відкритому та закритому ґрунті. Від розсади до першого зібрання 40-42 днів. Плід темно -зелений, без гіркоти.","Раннеспелый, высокоурожайный, пчелоопыляемый гибрид, с преимущественно женским типом цветения, для выращивания в открытом и закрытом грунте. От всходов до первого сбора 40-42 дня. Плод темно-зеленый, без горечи.",p110126.jpg,110,,p110126,1,,1,,"early_maturing,open_field,bee_pollinated,high_yield",,,,,,p110126,iraf1,,,,,,,,,,,,,,,,,,
127,Китайське диво,Китайское чудо,"Даваний сорт дуже привабливий плодами до 45 см, мілкогорбковими і шиповатими та і незвичайними 
формами.  Огірки мають тонку шкіру, щільну консистенцію та відмінний смак. Транспортування висока. Плоди не містять гіркоти, ідеально солоні та консервовані, навіть нарізані.","Данный сорт очень привлекателен плодами длиной до 45см, мелкобугорчатыми и шиповатыми. Огурцы имеют тонкую кожицу, плотную консистенцию и отличные вкусовые качества. Транспортабельность высокая. Плоды не содержат горечи, отлично солятся и консервируются, даже нарезанные кусочками.",p110127.jpg,110,,p110127,1,,1,,"canning,firm,transportable",,,,,,p110127,kytaiske-dyvo,,,,,,,,,,,,,,,,,,
128,Кімнатний,Комнатный,"Партенокарпічний (самозапильний) гібрид, жіночий тип цвітіння, який можна вирощувати на підвіконні, на й, в теплиці та у відкритому грунті, вертикально або горизонтально. Плоди корнішонного типу, 7-8 см, крупнобугристі, хорошого смаку","Партенокарпический (самоопыляемый) гибрид, женского типа цветения, который можно выращивать на подоконнике, на балконе, в теплице и в открытом грунте, вертикальным или горизонтальным способом. Плоды корнишонного типа, 7-8 см, крупнобугорчатые, хороших вкусовых качеств",p110128.jpg,110,,p110128,1,,1,,"open_field,greenhouse,parthenocarpic",,,,,,p110128,kimnatnyi,,,,,,,,,,,,,,,,,,
129,Конкурент,Конкурент,"Скоростигли, 
бджолозапильний засолочний со́рт відкритого грунту. плодоношення починае на 45-50-й день, літнім посівом на 29-30-й день. Плоди овально-циліндричні, крупнобугристі, чорношипі, довжиною 9-12 см,","Скороспелый, засолочный пчёлоопыляемый сорт открытого грунта. В плодоношение вступает на 45-50-й день, при летнем посеве на 29-30-й день. Плод овально-цилиндрический, крупнобугорчатый, чёрношипый, длинной 9-12см,",p110129.jpg,110,,p110129,1,,1,,"pickling,black,oval,cylindrical,open_field,bee_pollinated",,,,,,p110129,konkurent,,,,,,,,,,,,,,,,,,
130,Круїз F1,Круиз F1,"Середньостиглий (від розсади до плодоношення 49-52 днів) бджолозапильний гібрид універсального призначення. Рослина лазить, плоди яскраво-зелені, циліндричні, крупнобугристі, довжиною 8-10 см","Среднеспелый (от всходов до плодоношения 49-52 дня) пчёло-опыляемый гибрид универсального назначения. Растение плетистое, плод ярко зеленый цилиндрический, крупнобугорчатый, длиной 8-10 см",p110130.jpg,110,,p110130,1,,1,,"mid_maturing,universal,cylindrical,bee_pollinated",,,,,,p110130,kruiz-f1,,,,,,,,,,,,,,,,,,
131,Кущовий,Кустовой,"Сорт раннього дозрівання (45-50 днів).  Рослина компактна за формою, зеленець витягнуто-яйцеподібна, довжиною 9-12 см, смак відмінний.","Раннеспелый сорт (45-50 дней).  Растение компактной формы. Зеленец удлиненно-яйцевидный, длиной 9-12 см, вкусовые качества отличные.",p110131.jpg,110,,p110131,1,,1,,"early_maturing,compact,elongated",,,,,,p110131,kushchovyi,,,,,,,,,,,,,,,,,,
133,Лялюк,Лялюк,"Середньостиглий сорт, період від появи маси до початку плодоношення 55-60 днів. Засолочні, придатні до  консервувагня, високоврожайні. Плоди  крупнобугристі, чорношипі, довжиною 9-12 см. Призначені для літніх посівних періодів. Стійкий до борошнистої роси.","Среднеспелый сорт, период от массовых всходов до начала плодоношения 55-60 дней. Засолочный, консервный, высокоурожайный. Плоді  крупнобугорчатые, черношипые, длиной 9-12 см. Предназначен для летних сроков посева. Устойчив к мучнистой росе.",p110133.jpg,110,,p110133,1,,1,,"mid_maturing,canning,pickling,black,powdery_mildew,high_yield",,,,,,p110133,lialiuk,,,,,,,,,,,,,,,,,,
134,Лялюк,Лялюк,"Середньостиглий сорт, період від появи маси до початку плодоношення 55-60 днів. Солоний, консервований, високоврожайний. Плоди бугорчаті, чорношипі, довжиною 9-12 см. Призначений для
літнього посіву, стійкий до борошнистої роси.","Среднеспелый сорт, период от массовых всходов до начала плодоношения 55-60 дней. Засолочный, консервный, высокоурожайный. Плоды крупнобугорчатые, черношипые, длиной 9-12 см. Предназначен для
летних сроков посева. Устойчив к мучнистой росе.",p110134.jpg,110,,p110134,1,,1,,"mid_maturing,canning,pickling,black,powdery_mildew,high_yield",,,,,,p110134,lialiuk,,,,,,,,,,,,,,,,,,
135,Малий та молодецький F1,Мал да удал F1,"Раннє дозрівання (від розсади до збору врожаю 40-45 днів) партенокарпічного гібриду. Рослина потужна,повзу
ча, з жіночим типом цвітіння. Запліднення на головном стеблу в кожній пазусі одна зав'язь - а на бічних пагонах - пучкове.","Раннеспелый (от всходов до сбора урожая 40-45 дней) партенокарпический гибрид. Растение мощное, плетистое, с женским типом цветения. Плодообразование наглавном стебле - одиночное,
по одной завязи в каждом узле, а на боковых побегах - букетное.",p110135.jpg,110,,p110135,1,,1,,"early_maturing,parthenocarpic",,,,,,p110135,malyi-ta-molodetskyi-f1,,,,,,,,,,,,,,,,,,
136,Льоша F1,Леша F1,"Швидкостиглий гібрид, добірки Донецької дослідної станції, універсального призначення. Стійкий до пероноспорозу та бактеріозу, не уражений звичайною мозаїкою. Плоди не жовтіють,  тривалий час залишаються товарними, добре транспортуються","Скороспелый гибрид, селекции Донецкой опытной станции, универсального назначения. Устойчив к пероноспорозу и бактериозу, не поражается обычной мозаикой. Плоды не желтеют,  долго сохраняют товарность, високотранспортабельные",p110136.jpg,110,,p110136,1,,,,"universal,yellow,transportable,long_storage",,,,,,p110136,losha-f1,,,,,,,,,,,,,,,,,,
137,Лібелла F1,Либелла F1,"Ранньозрілий бджолозапильний гібрид. Не потребує сортів-запилювачів. Для відкритого грунту, плівкових покриттів та теплиць. Підходить для засолювання та консервування","Раннеспелый пчелоопыляемый гибрид. Не требует сортов-опылителей. Для открытого грунта, пленочныхукрытий и теплиц. Пригоден для засола и консервирования",p110137.jpg,110,,p110137,1,,,,"early_maturing,canning,pickling,open_field,greenhouse,bee_pollinated",,,,,,p110137,libella-f1,,,,,,,,,,,,,,,,,,
138,Хлопчик з пальчікF1,Мальчик с пальчикF1,"Швидкостиглий (37-39 днів), бджолозапильний, засолювальний сорт відкритого грунту. Не утворює безплідних квіток, плід корнішону довжиною 6-8 см має гарний смак, тривалий час зберігає товарний вигляд і зелений колір.","Скороспелый (37-39 дней), пчелоопыляемый, засолочный сорт открытого грунта. Не образует пустоцветов. Плод  корнишон, длиной 6-8 см, хорошего вкуса, долго сохраняет товарный вид и зеленую окраску.",p110138.jpg,110,,p110138,1,,1,,"pickling,open_field,bee_pollinated,long_storage,marketable",,,,,,p110138,khlopchyk-z-palchikf1,,,,,,,,,,,,,,,,,,
139,Хлопчик з пальчик,Мальчик с пальчик,"Швидкостиглий (37-39 днів), бджолозапильний, засолочний сорт відкритого грунту. Не утворює безплідних квіток, плід корнішону довжиною 6-8 см має гарний смак, тривалий час зберігає товарний вигляд і зелений колір.","Скороспелый (37-39 дней), пчелоопыляемый, засолочный сорт открытого грунта. Не образует пустоцветов. Плод  корнишон, длиной 6-8 см, хорошего вкуса, долго сохраняет товарный вид и зеленую окраску.",p110139.jpg,110,,p110139,1,,1,,"pickling,open_field,bee_pollinated,long_storage,marketable",,,,,,p110139,khlopchyk-z-palchyk,,,,,,,,,,,,,,,,,,
140,Марінда F1,Маринда F1,"Партенокарпический (запилюється сам, не потребує запилення бджолами), дуже ранньій гібриду з достатнім доглядом він утворює 6-7 плодів у кожному вузлі прекрасного  темно-зеленого кольору  без гіркоти.","Партенокарпический (само опыляемый, не нуждается в опылении пчелами), очень ранний гибрид. При достаточном питании формирует по 6-7 плодов в каждом узле. Плоды с шипами, красивой темно-зеленойокраски, без горечи.",p110140.jpg,110,,p110140,1,,0,,"early,red,parthenocarpic",,,,,,p110140,marinda-f1,,,,,,,,,,,,,,,,,,
141,МашаF1,МашаF1,"Найбільш ранній гібрид огірків корнішонів. Партенокарпічний, не потребує запилення бджолами. 
Достатній догляд,  утворює 6-7 плодів на кожном
у вузлі. Плоди без гіркоти, дозрівають дуже рано і дружно. Найбільш ранній гібрид огірків корнішонів.","Самый ранний гибрид огурца-корнишона. Партенокарпик, не нуждается в опылении пчелами. 
Достаточное питании формирует по 6-7 плодов на каждом узле. Плоды без горечи, созревают очень рано и дружно. Самый ранний гибрид огурца-корнишона.",p110141.jpg,110,,p110141,1,,1,,"early,parthenocarpic,uniform_ripening",,,,,,p110141,mashaf1,,,,,,,,,,,,,,,,,,
