id,Название (укр),Название (рус),Описание (укр),Описание (рус),image
102,Біляївський,Беляевский,,"Беляевский.Создан для выращивания в закрытом грунте, в частности в весенний и весенне-
летний периоды в пленочных теплицах. Кроме того, его можно эффективновыращивать в открытом грунте с использованием общепринятых технологий. Плодам этого гибрида присущи высокие  товарные качества.",
103,бочковий,Бочковий,,"Бочковий.Среднеспелый (53-57 дней), пчелоопыляемый сорт для открытого грунта. Растение сильнорослое,плетистое, со смешанным цветением. Зеленцы крупнобугорчатые, ярко-зелёные с восковым налётом,длиной 11-13 см, плотные, хрустящие.",
104,Весела компані F1,Весела компани F1,,"Весела компаниF1.Среднеранний гибрид корнишонного типа, для выращивания в открытом и закрытом грунте. Зеленец среднбугорчатый, длиной 7-9 см. Тип завязи пучковый. Устойчив к основным заболеваниям огурцов.
Отлично подходит для употребления в свежем виде и консервирования.",
105,виноградне гроно,Виноградная гроздь,,"Виноградная гроздь   Раннеспелый гибрид, от всходов до первого сбора 42 - 45 дней, формирующий пучковую завязь плодов. Плоды однородные по размеру, удлиненно-яйцевидной формы, долго не желтеют, крупнобугорчатые с нежной кожицей, без горечи, с отличными засолочными качествами. Длина зеленца 8-9 см",
106,Вірні друзі,Верные друзья,,"Верныедрузья.Ультраскороспелый, пчело-опыляемый гибрид для открытого грунта и пленочных укрытий. Период вегетации
37-39 дней. Салатного и консервного назначения. В пазухе листа закладывается по 2-7 завязей. Каждоерастение дает до 47 овально-цилиндрических плодов, длиной 8-10 см, без горечи, массой 80-115 г.",
107,Владко,Владко,,"Владко.Среднеспелый, высокоурожайный гибрид с отличными вкусовыми качествами. Используется в свежем виде,
для соления и консервации. Вегетационный период от всходов до начала плодоношения – 45-50 дней.Предназначен для выращивания в открытом грунте.",
108,Водограй,Водограй,,"Водограй. Скороспелый гибрид, созревает на 35 день после появления всходов. Отличается высокой продуктивностью,дружным созреванием плодов, пригодных к засолке и консервированию, устойчивостью растений к засухе и болезням.",
109,120,120,,"120.Всем на зависть. Высокоурожайный, скороспелый, корнишонный гибрид для открытого грунта и весенних теплиц.В узлах формируется 3-6 и более завязей. Окраска - красивая, ��рко-зеленая. Зеленцы - белошипые.",
110,Гейм,Гейм,,"Гейм.Среднеспелый, нежинского сортотипа. Плодоносит на 49 день после появления всходов,длительность
плодоношения 31-35 дней. Устойчив против пероноспороза и бактериоза. Высокие консервные и засолочные качества Зеленец удлиненно-овальный, длиной 10-11 см.",
111,гірлянда F1,Гирлянда F1,,"Гирлянда F1.Раннеспелый (45-50 дней от всходов до плодоношения) самоопыляемый гибрид с букетным
заложением завязей (до 4-5 в одном узле). Растение с мощным ростом, слабоветвистое.Рекомендуется для выращивания в пленочных теплицах. Благодаря теневыносливости подходит для
выращивания на балконе",
112,ГекторF1,ГекторF1,,"ГекторF1.Сверхранний кустовой гибрид огурца с преимущественно женским типом цветения. Дает высокий и дружный урожай. Хорошо переносит загущение. Плоды однородные, крупнобугорчатые, белошипые цилиндрические,равномерного темно-зеленого цвета, не желтеют.",
113,Герман F1,Герман F1,,"Герман F1.Самый популярный, суперранний (38-40 дней), сверхурожайный гибрид. С 1 кв.м можно получить более 20 кг 
великолепных огурцов-корнишонов. Зеленцы крупнобугорчатые,равномерные.  Предназначен дла употребления в свежем виде а так же во всех видах переработок. Гибрид из Голландии.",
114,Голубчик F1,Голубчик F1,,"Голубчик F1.Раннеспелый гибрид (42-45 дней), преимущественно жнско- го  типа цветения,  пчело-опыляемый, корнишон. Зеленец овально-цилиндрический длиной 9-12 см и диаметром 3,5-4,5 см, без горечи. Дружно формирует урожай. Пригоден для потребления в свежем виде,засолки  ,консервирования.",
115,Далекосхідний 27,Дальневосточный 27,,"Дальневосточный 27.Сорт среднеспелый, доспевает за 40-45 дней. Длинноплетистый. Плод эллипсовидный, бугорчатый,
черношипый, длиной 11-15см, массой 100-200г, без горечи. Урожайность 1-3кг/м. Предназначен для открытого грунта, пчело-опыляемый, засолочный, засухоустойчивый.",
116,Джерело,Джерело,,"Джерело.Раннеспелый, до начала плодоношения 40-45 дней. Сорт относительно холодоустойчивый. Зеленец удлиненноовальный, длиной около 11 см, диаметром 4 см, массой 70-80 г, поверхность бугорчатая с четкими
полосками до половины длины. Вкус свежих, консервированных изасоленных плодов отличный. Урожайность высокая.",
117,дружна сімейка,Дружная семейка,,"Дружная семейка. Ультраскороспе- лый , пчело-опыляемый сорт открыто- го грунта. Салатного и консервного назначения. В пазухе листа закладывается по 2-3 завязи. Ценность сорта – раннеспелость, дружная отдача урожая, что позволяет провести уборку за 2-3 сбора, высокая товарность.",
118,делікатесний,Деликатесный,,"Деликатесный.Раннеспелый сорт для выращивания в открытом грунте. Растение мощное, длинноплетистое. Зеленцы цилиндрические, выровненные, мелко-,частобугорчатые, длиной 9-12 см. Кожица негрубая, темно-зеленая.Мякоть плотная, с высоким содержанием сахаров.",
119,Ємеля,Емеля,,"Емеля.Среднеранний салатный сорт. Вегетационный период от всходов до первого сбора 55-60 дней. Зеленцы гладкие, длиной 16-20см, диаметром 3-5см, массой 120-180г, с тонкой, блестящей темно-зеленой кожурой.Мякоть толстая, сочная, без горечи с приятным вкусом и ароматом",
120,Журавльонок,Журавленок,,"Журавленок.F1.Раннеспелый, пчелоопыляемый гибрид, период от всходов до первого урожая составляет 40-45 дней. Зеленец бугорчатый, овально-цилиндрический, длиной 10-12 см, без горечи. Мякоть плотная, хрустящая",
121,Засолочний,Засолочный,,"Засолочный.Раннеспелый, пчелоопыляемый сорт. Плоды однородные по размеру, удлиненно-яйцевидной формы, темно-зеленые, не желтеют,крупнобугорчатые, с нежной кожицей и отличными засолочными качествами.",
122,Засолочний,Засолочный,,"Засолочный.Раннеспелый, пчело-опыляемый сорт. Плоды однородные по размеру, удлиненно-яйцевидной формы, темно-зеленые, не желтеют,крупнобугорчатые, с нежной кожицей и отличными засолочными качествами.",
123,ЗозуляF1,ЗозуляF1,,"ЗозуляF1.Гибрид скороспелый, засолочный, обладает частичной партенокарпией (самоопыляемый). Зеленец цилиндрический, слабобугорчатый, длина плода 15-23 см. Урожайность и товарность высокие. Применяется для выращивания в теплицах, помещениях и в открытом грунте.",
124,Зубренок F1,Зубренок F1,,"Зубренок F1.Среднеранний гибрид. В плодоношение вступает на 48-50 день после всходов. Пчелоопыляемый,преимущественно с женским типом цветения . Зеленец длиной 12-14см, высоких вкусовых качеств, без горечи",
125,зятьок,Зятек,,"Зятек.Скороспелый (45-48 день от всходов до плодоношения) партенокарпический гибрид женского типа цветения.Предназначен для выращивания в открытом грунте и пленочных теплицах. Зеленец длиной 10-12 см,",
126,ІраF1,ИраF1,,"ИраF1.Раннеспелый, высокоурожайный, пчелоопыляемый гибрид, с преимущественно женским типом цветения, для выращивания в открытом и закрытом грунте. От всходов до первого сбора 40-42 дня. Плод темно-зеленый, без горечи.",
127,китайське диво,Китайское чудо,,"Китайское чудо.Данный сорт очень привлекателен плодами длиной до 45см, мелкобугорчатыми и шиповатыми. Огурцы имеют тонкую кожицу, плотную консистенцию и отличные вкусовые качества. Транспортабельность высокая. Плоды не содержат горечи, отлично солятся и консервируются, даже нарезанные кусочками.",
128,кімнатний,Комнатный,,"Комнатный.Партенокарпический (самоопыляемый) гибрид, женского типа цветения, который можно выращивать на подоконнике, на балконе, в теплице и в открытом грунте, вертикальным или горизонтальным способом. Плоды корнишонного типа, 7-8 см, крупнобугорчатые, хороших вкусовых качеств",
129,конкурент,Конкурент,,"Конкурент.Скороспелый,засолочный пчёлоопыляемый сорт открытого грунта. В плодоношение вступает на 45-50-й день,при летнем посеве на 29-30-й день. Плод овально-цилиндрический, крупнобугорчатый, чёрношипый, длинной 9-12см,",
130,круїз F1,Круиз F1,,"Круиз F1.Среднеспелый (от всходов до плодоношения 49-52 дня) пчёло-опыляемый гибрид универсального назначения.Растение плетистое ,плод ярко зеленый цилиндрический,крупнобугорчатый,длиной 8-10 см",
131,кущовий,Кустовой,,"Кустовой. Раннеспелый сорт (45-50 дней).  Растение компактной формы. Зеленец удлиненно-яйцевидный, длиной 9-12 см,вкусовые качества отличные.",
133,Лялюк,Лялюк,,"Лялюк.Среднеспелый сорт, период от массовых всходов до начала плодоношения 55-60 дней. Засолочный,консервный,высокоурожайный. Плоді  крупнобугорчатые, черношипые, длиной 9-12 см. Предназначен для летних сроков посева. Устойчив к мучнистой росе.",
134,Лялюк,Лялюк,,"Лялюк.Среднеспелый сорт, период от массовых всходов до начала плодоношения 55-60 дней.Засолочный, консервный, высокоурожайный. Плоды крупнобугорчатые, черношипые, длиной 9-12 см. Предназначен для
летних сроков посева. Устойчив к мучнистой росе.",
135,Малий та молодецький F1,Мал да удал F1,,"Мал да удал F1.Раннеспелый (от всходов до сбора урожая 40-45 дней) партенокарпический гибрид. Растение мощное, плетистое, с женским типом цветения. Плодообразование наглавном стебле - одиночное,
по одной завязи в каждом узле, а на боковых побегах - букетное.",
136,Льоша F1,Леша F1,,"Леша F1.Скороспелый гибрид, селекции Донецкой опытной станции, универсального назначения. Устойчив к пероноспорозу и бактериозу, не поражается обычной мозаикой. Плоды не желтеют,  долго сохраняют товарность, високотранспортабельные",
137,Лібелла F1,Либелла F1,,"Либелла F1.Раннеспелый пчелоопыляемый гибрид. Не требует сортов-опылителей. Для открытого грунта, пленочныхукрытий и теплиц. Пригоден для засола и консервирова-ния",
138,Хлопчик з пальчікF1,Мальчик с пальчикF1,,"Мальчик с пальчикF1. Скороспелый (37-39 дней), пчелоопыляемый, засолочный сорт открытого грунта. Не образует пустоцветов.Плод  корнишон, длиной 6-8 см, хорошего вкуса, долго сохраняет товарный вид и зеленую окраску.",
139,Хлопчик з пальчик,Мальчик с пальчик,,"Мальчик с пальчик.Скороспелый (37-39 дней), пчелоопыляемый, засолочный сорт открытого грунта. Не образует пустоцветов.Плод  корнишон, длиной 6-8 см, хорошего вкуса, долго сохраняет товарный вид и зеленую окраску.",
140,Марінда F1,Маринда F1,,"Маринда F1Партенокарпический (само опыляемый, не нуждается в опылении пчелами), очень ранний гибрид. При достаточном питании формирует по 6-7 плодов в каждом узле. Плоды с шипами, красивой темно-зеленойокраски, без горечи.",
141,МашаF1,МашаF1,,"МашаF1. Самый ранний гибрид огурца-корнишона. Партенокарпик, не нуждается в опылении пчелами. 
Достаточное питании формирует по 6-7 плодов на каждом узле. Плоды без горечи, созревают очень рано и дружно. Самый ранний гибрид огурца-корнишона.",
142,монастирський,Монастырский,,"Монастырский.Раннеспелый, созреваетза38дней,высокоурожайный сорт. Плоды не крупные 9-12см, цилиндрической формы, без горечи, с длительным периодом плодоношения. Используют в свежем виде консервируют, солят.",
143,Мар`Їна Роща,Мар`Їна Роща,,"Мар`Їна Роща продуктивный, скороспелый, партенокарпический корнишонный гибрид, с пучковым образованием завязей. Холодостоек, теневынослив, плодоносит до глубокой осени. В узлах формируется от 2-3 до 4-5 завязей.Засолочные и вкусовые качества очень высокие.",
144,Мурашка F1,Мурашка F1,,"Мурашка F1.Скороспелый (43-48 дней от всходов до созревания), не требующий опыления, гибрид для открытого и защищенного грунта с женским типом цветения. Растение выглядит очень привлекательно, на кусте одновременно вы увидите и букетики женских цветков, и яркие, изящные, зеленцы по 4-6 в узле.",
145,Ніжинський,Неженский,,"Неженский.Сорт среднепоздний, длинноплетистый. Требователен к влаге и сравнительно устойчив к грибным болезням.Зеленец удлиненно-яцевидной формы, темно-зеленый, крупно-бугорчатый, длиной 9-12 см, диаметром 3-5 см,
массой около 90 г, урожайный. Сорт требователен к влаге.",
146,Ніжинський,Неженский,,"Неженский. Сорт среднепоздний, длинноплетистый.Требоателен к влаге и сравнительно устойчив к грибным болезням. Зеленец удлиненно яйцевидной формы,темно -зеленый,крупно бугорчатый,длинной 9-12см. Урожайный Сорт требователен к влаге.",
147,Наташа F1,Наташа F1,,"Наташа F1.Раннеспелый гибрид с преимущественно женским типом цветения. Плоды зеленые, с шипами отличного качества без горечи. Предназначены для потребления в свежем виде и переработки.",
148,ОктопусF1,ОктопусF1,,"ОктопусF1.Среднеранний (50-55 дней) пчелоопыляемый гибрид. Растение среднерослое, преимущественно женского типа цветения. Зеленец цилиндрический, темно-зеленый, среднего размера 8-12 см массой 85-110 г",
149,пальчик,Пальчик,,"Пальчик.Раннеспелый, пчело -опыляемый сорт. По урожайность превосходит в 2-3 раза все стандартные сорта. Растение
сильнорослое, средневетвистое, с пучковым расположением завязей. Зеленец удлиненно-элипсовидной формы 9-13см.",
150,Паризький корнішон,Парижский корнишон,,"Парижский корнишон Раннеспелый сорт для открытого грунта. Высокоурожайный, засолочного типа. Плод длиной 8-11см,
цилиндрический с продольными полосками и крупными бугорками, черношипый.",
151,ПасамонтеF1,ПасамонтеF1,,"ПасамонтеF1.Раннеспелыйпаренокарпический (самоопыляемый) гибрид, корнишонного типа, для пленочных и стеклянныхтеплиц. Начинает плодоносить на 43-45 день после всходов. Пригоден для консервирования и засола.
Урожайность 12-15 кг/кв.м.",
152,Пивниця F,Погребок F,,"Погребок F.Скороспелый (43-48 дней от всходов до плодоношения) пчелоопыляемый гибрид преимущественно женского типа цветения. Предназначен для выращивания в открытом грунте и под временными пленочными укрытиями.
Зеленец цилиндрической формы, длиной 9-11 см,",
153,Підмосковні вечори F1,Подмосковные вечера F1,,"Подмосковные вечераF1 Скороспелый, партенокарпический гибрид женского типа цветения с дружной отдачей урожая. В узлах формируется 1-2 плода. Зеленцы бугорчатые белошипые, со средним опушением, длиной 12-14см, темно-
зеленые, пригодны для засолки и консервирования",
154,ПоланF1,ПоланF1,,"ПоланF1.Среднеранний гибрид. Вегетационный период от всходов до начала плодоношения 45-50
дней. Плоды цилиндрические, крупнобугорчатые, черношипые, интенсивно зеленого цвета со светлыми полосками, длиной 7-10см,",
155,ПотомакF1,ПотомакF1,,"ПотомакF1.Раннеспелый гибрид голландскойселекции,преимущественно с женским типом цветения, период отвсходов до начала плодоношения - 50-55 дней. Растение детерминантное, со слабым ветвлением.Плоды без горечи, отличного качества, длиной 9 - 15 см",
156,РаціборF1,РациборF1,,"РациборF1.Гибрид, приносящий обильный урожай. Быстро начинает обильно плодоносить. Плод правильной формы
интенсивно-зеленого цвета с более светлыми полосами,крупнобугорчатые, белошипые. Вкус отличный.",
157,подарунок осені,Подарок осени,,"Подарок осени.Среднеранний сорт с удлиненным периодом плодоношения. От всходов до начала сбора урожая 42-45 дней. Растение среднеплетистое. Плод цилиндрический, длиной9-11см,без горечи, крупнобугорчатый. Очень хорош на вкус - хрустящий, сочный",
158,Роднічок F1,Родничок F1,,"Родничок F1. Раннеспелый,пчело- опыляемый гибрид, в плодоношение вступает на 49-52 день. Засолочный, консервный.Плоды цылендрические средне-бугорчатые, длиной 9-10 см. Устойчив к мучнистой росе. Рекомендован для выращивания в открытом грунте и и в пленочных теплицах.",
159,РоднічокF1,РодничокF1,,"РодничокF1.Раннеспелый, пчелоопыляемый гибрид, в плодоношение вступает на 49-52 день.Засолочный, консервный.
Плоды цилиндрические, среднебугорчатые, длиной 9-10 см. Устойчив к мучнистой росе. Рекомендован для выращивания в открытом грунте и пленочных теплицах.",
160,Руфус F1,Руфус F1,,"Руфус F1.Раннеспелый высокоурожайный гибрид открытого грунта. Плод – корнишон, цилиндрической формы, темно-
зеленого цвета, средне-пупырчатый, генетически избавлен от горечи. Вкусовые качества высокие. Устойчив к ложной мучнистой росе, вирусу мозаики огурца, парше тыквенных",
161,СамородокF1,СамородокF1,,"СамородокF1.Скороспелый гибрид, от всходов до первого сбора проходит 38-42 дня. Зеленец цилиндрический,
крупнобугорчатый, черношипый, длиной 8-9 см, массой 70-80 г. Имеет высокие вкусовые и засолочные
качества",
162,син полкаF1,Сын полкаF1,,"Сын полкаF1.Скороспелый гибрид, период от всходо в до начала плодоношения 37-39 дней. Женский тип цветения.Предназначен для выращивания в открытом грунте и пленочных теплицах. Плоды-корнишоны, темно-зеленого цвета, длиной 8-11 см, без горечи.",
163,Сквирський F1,Сквирский F1,,"Сквирский F1.Сорт среднеспелый. Предназначен для потребления в свежем виде и засолки. От появления всходов до первого сбора плодов проходит 48-52 дня. Плоди цилиндрические или овально-цилиндрические, 9-11см в длину и 3-4см в ширину.",
164,Семко F1,Семко F1,,"Семко F1.Среднеранний гибрид. Период от всходов до плодоношения 50-55 дней. Плоды зелёного цвета с размытыми светлыми полосами, бугорчатые, цилиндрической формы, длиной 9-11см, весом 80-110г. Гибрид  устойчив к комплексу заболеваний",
165,самозапилюватися F1,Самоопыляемый F1,,"Самоопыляемый F1.Скороспелый гибрид (образует плоды без опыления). Вегетационный период от всходов до начала плодоношения 45-47 дней. Плоды цилиндрические, средне-бугорчатые, длиной 6-9см, темно-
зелёной окраски с небольшими полосами, плотные и хрустящие.",
166,Сремский F1,Сремский F1,,"Сремский F1. Сверхранний, высокоурожайный, болезнеустойчивый гибрид. Плоды цилиндрические, бородавчастые,длиной 8-10 см, без тенденции к желтению. Имеют чудесный вкус. Выращивают для получения сверхранней продукции, соления и консерви��ования.",
167,Сусідові на заздрість F1,Соседу на зависть F1,,"Соседу на зависть F1.Очень ранний, преимущественно женского типа. Зеленец удлиненной формы, с крупнобугорчатой
поверхностью, без горечи. В засолке нежные, хрустящие. Период от полных всходов до начала плодоношения 43-50 дней. Длина плода 8-12 см. Масса плода 102-135 г.",
168,Тітус F1,Титус F1,,"Титус F1.Гибрид ранний, высокоурожайный. Используют для непосредственного обеспечения рынка и консервирования. Выращивают в открытом грунте. Плод цилиндрический  сильнобугорчатый.",
169,Фенікс 640,Феникс 640,,"Феникс 640.Позднеспелый пчело- опыляемый сорт открытого грунта универсального назначения. В плодоношение вступает на 55-65-й день от всходов. Плод бугорчатый , белошипый,длиной 12-16см, массой 120-180г, не желтеет.",
170,Фенікс 640,Феникс 640,,"Феникс 640.Позднеспелый пчёлоопыляемый сорт открытого грунта универсального назначения. В плодоношение вступает
на 55-65-й день от всходов. Плод крупнобугорчатый, белошипый, длиной 12-16см, массой 120-180г, не желтеет.",
171,Фенікс плюс,Феникс плюс,,"Феникс плюс.Улучшенный сорт,поз-неспелый, пчёло-опыляемый сорт открытого грунта универсального назначения. Вплодоношение вступает на 55-65-й день от всходов Плод крупнобугорчаты, белошипый, длиной 12-16см,массой 120-180г, не желтеет.",
172,Фенікс плюс,Феникс плюс,,"Феникс плюс.Позднеспелый пчёлоопыляемый сорт открытого грунта универсального назначения. Вплодоношение вступает на 55-65-й день от всходов. Крупнобугорчатый, белошипый, длиной 12-16см,массой 120-180г, не желтеет.",
173,хрусткий,Хрустящий,,"Хрустящий.Пчелооопыляемый сорт для открытого грунта и пленочных укрытий. Среднеспелый, вступает в плодоношение на 46-50 день от появления массовых всходов. Зеленцы веретеновидной формы 10-13см.",
174,Цезар,Цезарь,,"Цезарь.Сверхранний, пчелоопыляемый гибрид. Высокоурожайный, пригоден для засолки. Рекомендуется
для выращивания в открытом грунте. Болезнестойкий,не  требует дополнительной химической обработки. Зеленец длинной 8-12 см",
175,Фаворит,Фаворит,,"Фаворит.Сорт среднеранний с женским типом цветения, пчелоопыляемый, от всходов до первого сбора 50-52 дня.Зеленец зеленый с продольными белыми полосками, цилиндрический, средне-бугорчатый, длина 9-11см,",
176,ФермерF1,ФермерF1,,"ФермерF1.Пчелоопыляемый, преимущественно женского типа цветения. Урожайность в открытом грунте - до 10-12кг/кв.м, в защищенном грунте - до 20-24 кг/кв.м. Выращивают в открытогрунте, пленочных тоннелях и теплица",
177,Лускунчик F1,Щелкунчик F1,,"Щелкунчик F1.Новый гибрид с частичной партенокарпией для пленочных теплиц и открытого грунта. Среднеранний(45-50 дней от всходов до начала плодоношения). Растение среднерослое, с умереннымветвлением,преимущественно женского типа цветения. Плоды очень красивые",
178,меренга F1,Меренга F1,,"Меренга F1.Новый суперранний  партенокарпический гибрид. Характеризуется очень высоким и ранним  общим урожаем.Растение средне открытое. Плод  превосходного внешнего вида, без горечи, отличного вкуса, чрезвычайнднородные,правильной цилиндрической формы. Окраска темно-зеленая.",
179,Еколь F1,Еколь F1,,"Еколь F1.Партенокарпический раннеспелый гибрид корнишонного типа. Период от всходов до начала плодоношения -42-45 дней. Средняя урожайность 100-120 т/га. Рекомендуется для выращивания в открытом грунте и
пленочных теплицах.",
180,Пучіні,Пучини,,"Пучини.Новинка от голландских производителей. Среднеспелый партенокарпик, кустовой гибрид. Имеет очень высокий выход корнишона без генетической горечи. Растение среднегеративноготипа. Имеет высокие засолочные  качества.",
181,СоловейF1,СоловейF1,,СоловейF1. Раннеспелый гибрид открытого грунта. Лучший среди лучших по засолочным качествам. Ценится за отличный вкус изящных плодов красивой ярко-зеленой окраски. Высокоустойчив к ложной мучнистой росе.,
182,Надія F1,Надежда F1,,"Надежда F1.Новый ультраранний пчелоопыляемый гибрид с преимущественно женским типом цветения. Урожайность
очень высокая. Плоды однородные, цилиндрической формы, зеленого цвета, без горечи. Вкусовые качества высокие. Соотношение длины к ширине 3:2.",
183,ПаркерF1,ПаркерF1,,"ПаркерF1.Известный гибрид голландской селекции  женского типа цветения – лидер по урожайности.Раннеспелый, предназначен для открытого грунта и пленочных тоннелей. Плод среднебугорчатый, длиной 10см, массой 100 г, прекрасно транспортируется. Засолочный, консервный",
184,агресор F1,Агресор F1,,"Агресор F1.Суперпопулярный в мире позднеспелый гибрид, с округло-плоским кочаном, короткой кочерыгой и хорошей внутренней структурой.  Масса кочанов 3-4 кг. Созревание через 115-120 дней после высадки рассады. Рекомендуется для потребления в свежем виде, переработки.",
185,Амагер 611,Амагер 611,,"Амагер 611.Сорт позднеспелый, влаголюбивый. Спелость наступает через 120-125 дней после высадки рассады. Кочаны округло-плоские, очень плотные, не растрескиваются. Масса 2,6-3,6 кг. Посев семян на рассаду проводят с 10 апреля, за 40-45 дней до высадки в открытый грунт.",
186,Амагер 611,Амагер 611,,"Амагер 611. Сорт позднеспелый, влаголюбивый. Спелость наступает через 120-125 дней после высадки рассады. Кочаны округло-плоские, очень плотные, не растрескиваются. Масса 2,6-3,6 кг. Посев семян на рассаду проводят с 10 апреля, за 40-45 дней до высадки в открытый грунт.",
187,Дітмаршер Фрюєр,Дитмаршер фрюер,,"Дитмаршер фрюер.Раннеспелая, кочаны созревают через 60-65 дней после посадки рассады. Растение невысокое, кочан округлый, массой от 0,9 до 2, 4 кг, розетка листьев мелкая, светло-зеленого цвета, восковый налет слабый. Высевают на рассаду с середины марта.",
188,зимівля тисячі чотиреста сімдесят чотири,Зимовка 1474,,"Зимовка 1474.Сорт позднеспелый (от всходов до технической спелости 130-150 дней). Кочаны округло-плоские, очень плотные, массой 2,0-3,6 кг. Транспортабельность высокая. Урожайность 5,0-6,0 кг/м2. Отличается высокой лежкостю.",
189,Золотий гектар,Золотой гектар,,"Золотой гектар.Сорт скороспелый, от полных всходов до начала технической спелости кочанов 90 дней. Предназначен для потребления в свежем виде. Кочан округлый, с выпуклостью кверху, диаметром 19-24 см, массой 1,5-3,5 кг, среднеплотный, на разрезе белый",
190,Золотий гектар,Золотой гектар,,"Золотой гектар.Сорт скороспелый, от полных всходов до начала технической спелости кочанов 90 дней. Предназначен для потребления в свежем виде. Кочан округлый, с выпуклостью кверху, диаметром 19-24 см, массой 1,5-3,5 кг, среднеплотный, на разрезе белый.",
191,Червнева,Июньская,,"Июньская.Сорт ранний. Дружно формирует кочаны, которые можно убирать через 62-67 дней после высадки рассады. Основной урожай отдает за первые два сбора. Растение небольшое, компактное",
192,кам'яна голова,Каменная голова,,"Каменная голова.Сорт позднеспелый, вегетационный период 130-160 дней. Кочаны большие, массой 3-4 кг, твердые, круглые, исключительно вкусные. Один из лучших сортов для квашения. Лежкость во время зимнего хранения хорошая.",
193,кам'яна голова,Каменная голова,,"Каменная голова.Сорт позднеспелый, вегетационный период 130-160 дней. Кочаны большие, массой 3-4 кг, твердые, круглые, исключительно вкусные. Один из лучших сортов для квашения. Лежкость во время зимнего хранения хорошая.",
194,Козачок F1,Казачок F1,,"Казачок F1.Скороспелый гибрид, от высадки рассады до сбора – 52-57 дней. Кочан округлый, бледно-зеленый, в разрезе – белый, высотой 15,5-17,5см, массой 1,2-1,7кг. Ценность гибрида в значительной выравненности кочанов.",
195,КолобокF1,КолобокF1,,"КолобокF1.Позднеспелый гибрид, техническая спелость наступает на 150 день после полных всходов. Предназначен для потребления в свежем виде, тушения, квашения и длительного хранения.",
196,F1, F1,," F1. Позднеспелый гибрид, техническая спелость наступает на 150 день после полных всходов. Предназначен для потребления в свежем виде, тушения, квашения и длительного хранения.",
197,княгиня,Княгиня,,"Княгиня.Позднеспелый, лежкий (до лета следующего года) сорт с высоким выходом товарных корнеплодов. Вегетационный период 165-170 дней. Дружно формирует очень плотные кочаны массой 2,5 кг.",
